"filename", "language", "C++", "CMake", "comment", "blank", "total"
"/home/aiden/Development/starry/starry/CMakeLists.txt", "CMake", 0, 10, 0, 3, 13
"/home/aiden/Development/starry/starry/base/CMakeLists.txt", "CMake", 0, 12, 0, 2, 14
"/home/aiden/Development/starry/starry/base/copyable/CMakeLists.txt", "CMake", 0, 3, 0, 2, 5
"/home/aiden/Development/starry/starry/base/copyable/include/copyable.h", "C++", 3, 0, 0, 3, 6
"/home/aiden/Development/starry/starry/base/log/CMakeLists.txt", "CMake", 0, 15, 0, 5, 20
"/home/aiden/Development/starry/starry/base/log/include/async_logging.h", "C++", 39, 0, 1, 10, 50
"/home/aiden/Development/starry/starry/base/log/include/log_file.h", "C++", 36, 0, 1, 10, 47
"/home/aiden/Development/starry/starry/base/log/include/log_stream.h", "C++", 62, 0, 5, 14, 81
"/home/aiden/Development/starry/starry/base/log/include/logging.h", "C++", 42, 0, 4, 16, 62
"/home/aiden/Development/starry/starry/base/log/src/async_logger.cpp", "C++", 96, 0, 4, 18, 118
"/home/aiden/Development/starry/starry/base/log/src/log_file.cpp", "C++", 85, 0, 6, 10, 101
"/home/aiden/Development/starry/starry/base/log/src/logging.cpp", "C++", 71, 0, 4, 17, 92
"/home/aiden/Development/starry/starry/base/log/test/CMakeLists.txt", "CMake", 0, 19, 0, 6, 25
"/home/aiden/Development/starry/starry/base/log/test/log_performance_test.cpp", "C++", 115, 0, 11, 34, 160
"/home/aiden/Development/starry/starry/base/log/test/logger_test.cpp", "C++", 70, 0, 9, 21, 100
"/home/aiden/Development/starry/starry/base/noncopyable/CMakeLists.txt", "CMake", 0, 4, 0, 2, 6
"/home/aiden/Development/starry/starry/base/noncopyable/include/noncopyable.h", "C++", 11, 0, 0, 3, 14
"/home/aiden/Development/starry/starry/base/thread_pool/CMakeLists.txt", "CMake", 0, 7, 0, 3, 10
"/home/aiden/Development/starry/starry/base/thread_pool/include/thread_pool.h", "C++", 106, 0, 0, 19, 125
"/home/aiden/Development/starry/starry/base/thread_pool/test/CMakeLists.txt", "CMake", 0, 8, 0, 4, 12
"/home/aiden/Development/starry/starry/base/thread_pool/test/thread_pool_test.cpp", "C++", 48, 0, 1, 16, 65
"/home/aiden/Development/starry/starry/net/CMakeLists.txt", "CMake", 0, 29, 0, 5, 34
"/home/aiden/Development/starry/starry/net/include/acceptor.h", "C++", 30, 0, 1, 10, 41
"/home/aiden/Development/starry/starry/net/include/buffer.h", "C++", 210, 0, 31, 30, 271
