"filename", "language", "CMake", "C++", "comment", "blank", "total"
"/home/aiden/Development/starry/starry/CMakeLists.txt", "CMake", 1, 0, 0, 1, 2
"/home/aiden/Development/starry/starry/base/log/CMakeLists.txt", "CMake", -2, 0, 0, 0, -2
"/home/aiden/Development/starry/starry/base/log/include/async_logging.h", "C++", 0, -3, 0, 0, -3
"/home/aiden/Development/starry/starry/base/log/include/log_file.h", "C++", 0, -2, 0, 0, -2
"/home/aiden/Development/starry/starry/base/log/include/log_stream.h", "C++", 0, -1, 0, -1, -2
"/home/aiden/Development/starry/starry/base/log/include/logging.h", "C++", 0, 5, 0, 0, 5
"/home/aiden/Development/starry/starry/base/log/src/async_logger.cpp", "C++", 0, 3, 0, 0, 3
"/home/aiden/Development/starry/starry/base/log/src/log_file.cpp", "C++", 0, -2, 0, 0, -2
"/home/aiden/Development/starry/starry/base/log/src/logging.cpp", "C++", 0, 8, 0, -3, 5
"/home/aiden/Development/starry/starry/base/log/test/log_performance_test.cpp", "C++", 0, 10, 0, 0, 10
"/home/aiden/Development/starry/starry/base/log/test/logger_test.cpp", "C++", 0, 101, 14, 28, 143
"/home/aiden/Development/starry/starry/net/CMakeLists.txt", "CMake", -1, 0, 0, 0, -1
"/home/aiden/Development/starry/starry/net/include/callbacks.h", "C++", 0, 1, 0, 0, 1
"/home/aiden/Development/starry/starry/net/include/epoll_poller.h", "C++", 0, 7, 0, 1, 8
"/home/aiden/Development/starry/starry/net/include/poller.h", "C++", 0, -28, -2, -11, -41
"/home/aiden/Development/starry/starry/net/include/timer.h", "C++", 0, 1, 0, 1, 2
"/home/aiden/Development/starry/starry/net/include/timer_queue.h", "C++", 0, 1, 4, 0, 5
"/home/aiden/Development/starry/starry/net/src/connector.cpp", "C++", 0, 2, 0, 0, 2
"/home/aiden/Development/starry/starry/net/src/epoll_poller.cpp", "C++", 0, -4, 0, 0, -4
"/home/aiden/Development/starry/starry/net/src/eventloop.cpp", "C++", 0, -2, 0, 0, -2
"/home/aiden/Development/starry/starry/net/src/poller.cpp", "C++", 0, -15, 0, -5, -20
"/home/aiden/Development/starry/starry/net/src/tcp_client.cpp", "C++", 0, 1, 0, 0, 1
"/home/aiden/Development/starry/starry/net/src/tcp_connection.cpp", "C++", 0, 0, 1, 0, 1
"/home/aiden/Development/starry/starry/net/src/timer_queue.cpp", "C++", 0, 13, 17, 2, 32
"/home/aiden/Development/starry/starry/net/test/CMakeLists.txt", "CMake", 3, 0, 0, 0, 3
"Total", "-", 1, 96, 34, 13, 144
